[147] City changed because of Region: IN21; because of R376; Possession of Refrigerator; 0.999257779346581; 1; 57.46851622; 50.2554408577518; 21.46851622                            
[148] City changed because of Region: IN54; because of R379; Possession of Refrigerator; 2.10029772637336; 2.05976876306185; 30.46851622; 27.4219119610598; 21.46851622              
[149] City changed because of Region: IN35; because of R379; Possession of Refrigerator; 2.07959823304628; 2.0597687628976; 30.46851622; 27.4219119610598; 21.46851622               
[150] City changed because of Region: IN26; because of R379; Possession of Refrigerator; 1.89616550761497; 1.7987270219103; 30.46851622; 27.4219119610598; 21.46851622               
[151] City changed because of Region: IN21; because of R376; Possession of Colour TV Set; 1.00064155144259; 1; 79.57219936; 91.754858592446; 64.57219936                             
[152] City changed because of Region: IN28; because of R379; Possession of Refrigerator; 2.12472024587614; 2.05976876271451; 30.46851622; 27.4219119610598; 21.46851622              
[153] City changed because of Region: IN50; because of R380; Possession of Refrigerator; 1.40723891220613; 1.11301532640751; 50.46851622; 34.730116429; 21.46851622                  
[154] City changed because of Region: IN46; because of R383; Possession of Refrigerator; 1.80027419729943; 2.16855935856293; 3.46851622; 14.5723984654574; 21.46851622               
[155] City changed because of Region: IN49; because of R383; Possession of Refrigerator; 1.72543358867261; 2.54632581667414; 3.46851622; 14.5723984654574; 21.46851622               
[156] City changed because of Region: IN22; because of R384; Possession of Refrigerator; 2.29078115256523; 2.8185668294052; 13.46851622; 19.0643302218478; 21.46851622               
[157] City changed because of Region: IN56; because of R385; Possession of Refrigerator; 0.956328481173096; 0.980184443164654; 46.46851622; 29.5794691966307; 21.46851622            
[158] City changed because of Region: IN60; because of R385; Possession of Refrigerator; 1.10320564502258; 0.994310443635113; 46.46851622; 29.5794691966307; 21.46851622             
[159] City changed because of Region: IN57; because of R385; Possession of Refrigerator; 1.053274183134; 1.01525916506154; 46.46851622; 29.5794691966307; 21.46851622                
[160] City changed because of Region: IN59; because of R385; Possession of Refrigerator; 1.06098414028904; 1.02817487359128; 46.46851622; 29.5794691966307; 21.46851622              
[161] City changed because of Region: IN39; because of R385; Possession of Refrigerator; 1.36735601866721; 1.19566972252753; 46.46851622; 29.5794691966307; 21.46851622              
[162] City changed because of Region: IN54; because of R379; Possession of Colour TV Set; 1.31695438898124; 1.34875598719362; 68.57219936; 71.2046025117639; 64.57219936             
[163] City changed because of Region: IN58; because of R385; Possession of Refrigerator; 0.813139604029624; 0.717820028094693; 46.46851622; 29.5794691966307; 21.46851622            
[164] City changed because of Region: IN34; because of R386; Possession of Refrigerator; 2.67295234844406; 2.64329900751146; 11.46851622; 12.0492216196881; 21.46851622              
[165] City changed because of Region: IN37; because of R386; Possession of Refrigerator; 2.16497400064947; 2.60584461910625; 11.46851622; 12.0492216196881; 21.46851622              
[166] City changed because of Region: IN47; because of R386; Possession of Refrigerator; 2.08120486907196; 1.8699578177561; 11.46851622; 12.0492216196881; 21.46851622               
[167] City changed because of Region: IN32; because of R387; Possession of Refrigerator; 1.24985470072465; 1.09463038965738; 26.46851622; 30.3029046702586; 21.46851622              
[168] City changed because of Region: IN45; because of R387; Possession of Refrigerator; 0.972962038932821; 0.808335318691319; 26.46851622; 30.3029046702586; 21.46851622            
[169] City changed because of Region: IN27; because of R387; Possession of Refrigerator; 1.62527873861417; 1.48282498024045; 26.46851622; 30.3029046702586; 21.46851622              
